ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match
HPSP5,Victoria Harbour,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
HPSP6,Victoria Harbour,Surfperch Livers,742,BB,>1,fibre,clear,1157.88,yes,,Polyester,26
HPSP8,Victoria Harbour,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
HPSP9,Victoria Harbour,Surfperch Livers,743,BB,>1,fibre,blue,794.56,yes,Probably Denim,Unknown,26
HPSP10,Victoria Harbour,Surfperch Livers,744,BB,>1,fibre,clear,607.78,yes,,Wool,26
HPSP11,Victoria Harbour,Surfperch Livers,745,BB,>1,fibre,black,255.61,yes,Can't get good spectra without burning,Unknown,26
HPSP12,Victoria Harbour,Surfperch Livers,746,BB,>1,fibre,black,886.12,yes,***I have sample,Polyester,26
HPSP12,Victoria Harbour,Surfperch Livers,747,BB,>1,fibre,black,684.5,yes,,Cellulose,26
HPSP14,Victoria Harbour,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
HPSP15,Victoria Harbour,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
HPSP16,Victoria Harbour,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
HPSP17,Victoria Harbour,Surfperch Livers,748,BB,>1,fibre,clear,779.8,yes,,Polyester,26
