ID,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID
CBPTPB3,Blanks,#67,NP,150-250,fragment,blue,88.45,no,tiny**,
CBPTPB3,Blanks,72,NP,150-250,fibre,black,196.93,yes,,Cellulose
CBPTPB3,Blanks,#68,NP,150-250,fragment,blue,62.52,no,tiny**,
CBPTPB3,Blanks,#69,NP,150-250,fragment,blue,54.56,no,tiny**,
CBPTPB3,Blanks,#70,NP,150-250,fragment,blue,15.02,no,tiny**,
CBPTPB3,Blanks,#71,NP,150-250,fragment,blue,92.86,no,tiny**,
CBPT1,Plankton tows,73,NP,150-250,fragment,blue,189.86,yes,,
CBPT1,Plankton tows,74,NP,150-250,fibre,clear,421.58,yes,,Polypropylene
CBPT1,Plankton tows,#72,NP,150-250,fragment,blue,44.98,no,tiny**,
CBPT1,Plankton tows,75,NP,150-250,fragment,blue,363.83,yes,,
CBPT1,Plankton tows,76,NP,150-250,fibre,blue,547.19,yes,,Plastics Dye
CBPT2,Plankton tows,#73,NP,150-250,fragment,blue,29.37,no,tiny**,
CBPT2,Plankton tows,#74,NP,150-250,fragment,blue,56.43,no,tiny**,
CBPT2,Plankton tows,#75,NP,150-250,fragment,blue,25.87,no,tiny**,
CBPT2,Plankton tows,#76,NP,150-250,fragment,blue,55.06,no,tiny**,
CBPT2,Plankton tows,#77,NP,150-250,fragment,blue,32.81,no,tiny**,
CBPT2,Plankton tows,#78,NP,150-250,fragment,blue,24.6,no,tiny**,
CBPT2,Plankton tows,#79,NP,150-250,fragment,blue,30.02,no,tiny**,
CBPT2,Plankton tows,#80,NP,150-250,fragment,blue,57.79,no,tiny**,
CBPT2,Plankton tows,#81,NP,150-250,fragment,blue,34.11,no,tiny**,
CBPT2,Plankton tows,#82,NP,150-250,fragment,blue,86.63,no,tiny**,
CBPT2,Plankton tows,#83,NP,150-250,fragment,blue,36.58,no,tiny**,
CBPT2,Plankton tows,#84,NP,150-250,fragment,blue,64.34,no,tiny**,
CBPT2,Plankton tows,#85,NP,150-250,fragment,blue,32.09,no,tiny**,
CBPT2,Plankton tows,#86,NP,150-250,fragment,blue,53.11,no,tiny**,
CBPT2,Plankton tows,#87,NP,150-250,fragment,blue,94.09,no,tiny**,
CBPT2,Plankton tows,#88,NP,150-250,fragment,blue,29.1,no,tiny**,
CBPT2,Plankton tows,#89,NP,150-250,fragment,blue,20.66,no,tiny**,
CBPT2,Plankton tows,#90,NP,150-250,fragment,blue,58.84,no,tiny**,
CBPT2,Plankton tows,#91,NP,150-250,fragment,blue,34.38,no,tiny**,
CBPT2,Plankton tows,#92,NP,150-250,fragment,blue,51.44,no,tiny**,
CBPT2,Plankton tows,#93,NP,150-250,fragment,blue,34.82,no,tiny**,
CBPT2,Plankton tows,#94,NP,150-250,fragment,blue,56.72,no,tiny**,
CBPT2,Plankton tows,#95,NP,150-250,fragment,blue,53.18,no,tiny**,
CBPT2,Plankton tows,#96,NP,150-250,fragment,blue,28.74,no,tiny**,
CBPT2,Plankton tows,#97,NP,150-250,fragment,blue,16.74,no,tiny**,
CBPT2,Plankton tows,#98,NP,150-250,fragment,blue,81.69,no,tiny**,
CBPT3,Plankton tows,77,NP,150-250,fibre,clear,470.85,no,dropped,
CBPT3,Plankton tows,#99,NP,150-250,fragment,blue,25.69,no,tiny**,
CBPT3,Plankton tows,#100,NP,150-250,fragment,blue,27.6,no,tiny**,
CBPT3,Plankton tows,78,NP,150-250,fibre,orange,561.16,yes,,Polyester
CBPT3,Plankton tows,#101,NP,150-250,fragment,blue,39.45,no,tiny**,
CBPT4,Plankton tows,#102,NP,150-250,fragment,blue,37.79,no,tiny**,
CBPT4,Plankton tows,#103,NP,150-250,fragment,blue,23.92,no,tiny**,
CBPT4,Plankton tows,79,NP,150-250,fibre,blue,1454.82,yes,,Polyurethane
CBPT4,Plankton tows,#104,NP,150-250,fragment,blue,65.75,no,tiny**,
CBPT4,Plankton tows,#105,NP,150-250,fragment,blue,23.63,no,tiny**,
CBPT4,Plankton tows,81,NP,150-250,fibre,purple,780.23,yes,too much fluorescence to get a good Raman signature,Unknown
CBPT4,Plankton tows,82,NP,150-250,fibre,black,347.94,yes,,Cellulose
CBPT4,Plankton tows,#106,NP,150-250,fragment,blue,73.82,no,tiny**,
CBPT4,Plankton tows,#107,NP,150-250,fragment,blue,29.2,no,tiny**,
CBPT4,Plankton tows,#108,NP,150-250,fragment,blue,22.05,no,tiny**,
CBPT4,Plankton tows,#109,NP,150-250,fragment,blue,54.12,no,tiny**,
CBPT4,Plankton tows,83,NP,150-250,fibre,black,224.88,yes,,Dye
CBPT5,Plankton tows,#110,NP,150-250,fragment,blue,26.83,no,tiny**,
CBPT5,Plankton tows,#111,NP,150-250,fragment,blue,41.72,no,tiny**,
CBPT5,Plankton tows,84,NP,150-250,fibre,blue,392.59,yes,too much fluorescence to get a good Raman signature,Unknown
CBPT5,Plankton tows,#112,NP,150-250,fragment,blue,27.77,no,tiny**,
CBPT5,Plankton tows,#113,NP,150-250,fragment,blue,37.8,no,tiny**,
HPPT1,Plankton tows,#114,NP,150-250,fragment,blue,30.03,no,tiny**,
HPPT1,Plankton tows,#116,NP,150-250,fragment,blue,50.59,no,tiny**,
HPPT1,Plankton tows,#117,NP,150-250,fragment,blue,23.91,no,tiny**,
HPPT1,Plankton tows,85,NP,150-250,fibre,clear,135.88,yes,,Unknown
HPPT1,Plankton tows,#118,NP,150-250,fragment,blue,34.5,no,tiny**,
HPPT1,Plankton tows,#119,NP,150-250,fragment,blue,56.08,no,tiny**,
HPPT1,Plankton tows,86,NP,150-250,fibre,clear,3215.15,yes,,Polyester
HPPT1,Plankton tows,87,NP,150-250,fibre,clear,698.96,yes,,Polyester
HPPT1,Plankton tows,#120,NP,150-250,fragment,blue,62.78,no,tiny**,
HPPT1,Plankton tows,#121,NP,150-250,fragment,blue,69.73,no,tiny**,
HPPT1,Plankton tows,88,NP,150-250,fibre,clear,1032.07,yes,,Polyester
HPPT1,Plankton tows,89,NP,150-250,fibre,clear,502.68,yes,,Salt Crystal
HPPT1,Plankton tows,#122,NP,150-250,fragment,blue,51.36,no,tiny**,
HPPT1,Plankton tows,90,NP,150-250,fragment,blue,104.82,yes,,
HPPT1,Plankton tows,91,NP,150-250,fibre,clear,536.46,yes,,Mineral
HPPT1,Plankton tows,92,NP,150-250,fibre,black,105.16,yes,,Cellulose
HPPT1,Plankton tows,#123,NP,150-250,fragment,blue,43.97,no,tiny**,
HPPT1,Plankton tows,93,NP,150-250,fibre,clear,538.64,yes,,Plastics Dye
HPPT1,Plankton tows,#124,NP,150-250,fibre,clear,343,no,dropped,
HPPT2,Plankton tows,#125,NP,150-250,fragment,blue,33.18,no,tiny**,
HPPT2,Plankton tows,#126,NP,150-250,fragment,blue,38.57,no,tiny**,
HPPT2,Plankton tows,#127,NP,150-250,fragment,blue,99.51,no,tiny**,
HPPT2,Plankton tows,97,NP,150-250,fibre,clear,1423.05,yes,,Polyester
HPPT2,Plankton tows,#128,NP,150-250,fragment,blue,35.62,no,tiny**,
HPPT2,Plankton tows,#129,NP,150-250,fragment,blue,41.27,no,tiny**,
HPPT2,Plankton tows,#130,NP,150-250,fragment,blue,24.39,no,tiny**,
HPPT2,Plankton tows,#131,NP,150-250,fragment,blue,52.43,no,tiny**,
HPPT2,Plankton tows,#132,NP,150-250,fragment,blue,58.19,no,tiny**,
HPPT3,Plankton tows,#133,NP,150-250,fragment,blue,63.24,no,tiny**,
HPPT3,Plankton tows,98,NP,150-250,fragment,blue,154.76,yes,,
