ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match
HPPJ4,Victoria Harbour,Plankton Jars,983,BB,>1,fiber,red,1013.05,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,984,BB,>1,fiber,black,540.33,yes,,Unknown,2
HPPJ4,Victoria Harbour,Plankton Jars,985,BB,>1,fiber,black,1923.6,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,986,BB,>1,fiber,black,894.49,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,987,BB,>1,fiber,black,661.05,yes,Could be denim,Unknown,2
HPPJ4,Victoria Harbour,Plankton Jars,988,BB,>1,fiber,red,2517.02,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,989,BB,>1,fiber,blue,1096.95,yes,,"Cellulose
",2
HPPJ4,Victoria Harbour,Plankton Jars,990,BB,>1,fiber,blue,1251.42,yes,no photo,Unknown,2
HPPJ4,Victoria Harbour,Plankton Jars,991,BB,>1,fiber,clear,1887.82,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,992,BB,>1,fiber,brown,304.51,yes,Can't get good spectra without burning,Unknown,2
HPPJ4,Victoria Harbour,Plankton Jars,993,BB,>1,fiber,black,449.28,yes,"Cellulose spectra, physically looks like rayon",Rayon,2
HPPJ4,Victoria Harbour,Plankton Jars,994,BB,>1,fiber,green,539.15,yes,,Polyester,2
HPPJ4,Victoria Harbour,Plankton Jars,995,BB,>1,fiber,blue,2063.92,yes,Could be denim,Unknown,2
HPPJ4,Victoria Harbour,Plankton Jars,996,BB,>1,fiber,clear,1056.53,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,997,BB,>1,fiber,black,1224.64,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,998,BB,>1,fiber,blue,776.61,yes,,Cellulose,2
Sep10PB3,,Blanks,999,BB,>1,fiber,black,1790.3,yes,Can't get good spectra without burning but physically looks like rayon,Rayon,2
