ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
EBCU3,Elliot Bay,Sea Cucumbers,226,NP,>150,fibre,clear,1054.15,yes,Could not find for raman,,12,N
EBCU4,Elliot Bay,Sea Cucumbers,227,NP,>150,fibre,blue,2252.3,yes,,Cellulose,12,N
EBCU5,Elliot Bay,Sea Cucumbers,NA,NA,>150,NA,NA,NA,NA,,,12,NA
EBCU6,Elliot Bay,Sea Cucumbers,NA,NA,>150,NA,NA,NA,NA,,,12,NA
EBCU7,Elliot Bay,Sea Cucumbers,231,NP,>150,fibre,red,1071.73,yes,,Cellulose,12,N
EBCU7,Elliot Bay,Sea Cucumbers,233,NP,>150,fibre,brown,246.01,yes,Can't get a good spectra,Unknown,12,S
EBCU8,Elliot Bay,Sea Cucumbers,236,NP,>150,fibre,black,1766.99,yes,,Polyester,12,N
EBCU9,Elliot Bay,Sea Cucumbers,237,NP,>150,fibre,red,666.59,yes,,Cellulose,12,N
EBCU9,Elliot Bay,Sea Cucumbers,239,NP,>150,fibre,black,1136.34,yes,,Cellulose,12,S
EBCUB1,Elliot Bay,Blanks,NA,NA,>150,NA,NA,NA,NA,,,12,NA
EBCUB2,Elliot Bay,Blanks,#760,NP,>150,fibre,blue,222.15,no,dropped,,12,N
EBCUB2,Elliot Bay,Blanks,278,NP,>150,fibre,blue,542.66,yes,,Polyester,12,S
EBCU1,Elliot Bay,Sea Cucumbers,#837,NP,1-150,fibre,clear,1950.65,no,dropped,,12,N
EBCU11,Elliot Bay,Sea Cucumbers,486,NP,1-150,fibre,red,469.94,yes,,Cellulose,12,S
EBCU11,Elliot Bay,Sea Cucumbers,487,NP,1-150,fibre,black,1752.46,yes,,Polyester,12,S
EBCU12,Elliot Bay,Sea Cucumbers,488,NP,1-150,fibre,clear,557.74,yes,,Polyester,12,S
EBCU12,Elliot Bay,Sea Cucumbers,489,NP,1-150,fibre,clear,1978.66,yes,,Polyester,12,S
EBCU14,Elliot Bay,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,12,NA
