ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
EBRF14,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF15,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF16,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,*thick debris,,32,NA
EBRF16A,Elliot Bay,Rockfish: Ingested Animals,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF16B,Elliot Bay,Rockfish: Ingested Animals,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF18,Elliot Bay,Rockfish Guts,881,BB,1-150,fiber,black,419.94,yes,,Unknown,32,S
EBRF18,Elliot Bay,Rockfish Guts,883,BB,1-150,fiber,black,2231.31,yes,,Cellulose,32,S
EBRF18,Elliot Bay,Rockfish: Ingested Animals,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF19,Elliot Bay,Rockfish Guts,885,BB,1-150,fiber,blue,2727.02,yes,,Cellulose,32,N
EBRF19,Elliot Bay,Rockfish Guts,886,BB,1-150,fiber,blue,2612.81,yes,Could be denim,Cellulose,32,N
EBRF20,Elliot Bay,Rockfish Guts,887,BB,1-150,fiber,black,326.02,yes,,Cellulose,32,S
EBRFPB1,Elliot Bay,Blanks,888,BB,1-150,fiber,blue,2089.09,yes,Could be denim,Cellulose,32,N
EBRFPB1,Elliot Bay,Blanks,889,BB,1-150,fiber,black,4190.73,yes,,Polyester,32,S
EBRFPB1,Elliot Bay,Blanks,890,BB,1-150,fiber,black,3077.39,yes,Cellulose spectra physically looks like rayon,Rayon,32,N
EBRFPB3,Elliot Bay,Blanks,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF1,Elliot Bay,Rockfish Guts,867,BB,150-1000,fiber,blue,1975.38,yes,,Cellulose,32,N
EBRF1,Elliot Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF2,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF3,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF4,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF5,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF6,Elliot Bay,Rockfish Guts,869,BB,150-1000,fiber,blue,1289.41,yes,,Cellulose,32,N
EBRF7,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF7,Elliot Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF8,Elliot Bay,Rockfish Guts,870,,150-1000,fiber,blue,2087.86,yes,*lots of debris,Cellulose,32,N
EBRF8,Elliot Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF9,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,*lots of debris,,32,NA
EBRF10,Elliot Bay,Rockfish Guts,872,BB,150-1000,fiber,red,3883.03,yes,,Polyester,32,S
EBRF10,Elliot Bay,Rockfish Guts,,BB,150-1000,fiber,brown,1085.27,no,dropped,,32,S
EBRF11,Elliot Bay,Rockfish Guts,873,BB,150-1000,fiber,black,816.11,yes,,Cellulose,32,N
EBRF12,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF13,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,"labelled ""exposed""",,32,NA
EBRF13,Elliot Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF14,Elliot Bay,Rockfish Guts,875,BB,150-1000,fiber,black,837.87,yes,,Cellulose,32,N
EBRF15,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF16,Elliot Bay,Rockfish Guts,,BB,150-1000,fiber,blue,1649.29,no,dropped,,32,N
EBRF16A,Elliot Bay,Rockfish: Ingested Animals,876,BB,150-1000,fiber,black,498.97,yes,,Cellulose,32,N
EBRF16A,Elliot Bay,Rockfish: Ingested Animals,877,BB,150-1000,fiber,blue,515.37,yes,Could be denim,Cellulose,32,N
EBRF16A,Elliot Bay,Rockfish: Ingested Animals,878,BB,150-1000,fiber,black,642.18,yes,Can't get a good spectra without fluorescing,Unknown,32,S
EBRF16A,Elliot Bay,Rockfish: Ingested Animals,879,BB,150-1000,fragment,black,330.36,yes,Can't get a good spectra without burning,Unknown,32,S
EBRF16B,Elliot Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF17,Elliot Bay,Rockfish Guts,880,BB,150-1000,fiber,black,1021.93,yes,,"Cellulose
",32,N
EBRF17,Elliot Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF18,Elliot Bay,Rockfish Guts,884,BB,150-1000,fiber,red,949.65,yes,,Cellulose,32,N
EBRF18,Elliot Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF19,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF20,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,32,NA
EBRF21,Elliot Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,*sample label: exposed,,32,NA
EBRFPB1,Elliot Bay,Blanks,891,BB,150-1000,fiber,blue,744.46,yes,Could be denim,Cellulose,32,N
EBRFPB1,Elliot Bay,Blanks,892,BB,150-1000,fiber,black,648.44,yes,,Cellulose,32,N
EBRFPB1,Elliot Bay,Blanks,893,BB,150-1000,fiber,blue,1264.1,yes,"Spectra could be indigo dye, physically looks like rayon",Rayon,32,N
